"latitude";"longitude";"commune";"departement";"region";"presente";"instruction_en_cours";"instruit";"autorise";"refuse";"abandonne";"en_construction";"construit";"repower";"recours";"demoli";"en_service";"date_presentation";"date_decision";"date_depot";"date_realisation";"date_mise_en_service";"date_repower";"date_recours";"date_demolition";"modele";"hauteur";"puissance";"id_parc";"puissance_parc";"nb_mats_parc";"offshore";"note"
49.452494;-0.513265;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.450974;-0.500384;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.449544;-0.4875;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.448076;-0.474633;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.446597;-0.461752;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.445126;-0.448873;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.443176;-0.431907;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.467265;-0.570781;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.465797;-0.557893;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.463997;-0.545118;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.462866;-0.532132;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.461402;-0.519245;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.455517;-0.467722;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.454038;-0.454854;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.452557;-0.441973;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.476171;-0.576774;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.474704;-0.563897;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.473244;-0.551006;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.471774;-0.538117;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.470311;-0.525242;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.468838;-0.512354;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.467373;-0.499467;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.464385;-0.473366;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.462872;-0.460152;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.485077;-0.582783;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.483619;-0.569889;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.482151;-0.556996;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.480691;-0.544118;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.47922;-0.531226;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.477926;-0.518286;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.476226;-0.504911;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.474807;-0.492572;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.473339;-0.479684;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.471861;-0.466797;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.493982;-0.58878;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.492525;-0.575883;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.491058;-0.563002;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.489598;-0.550107;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.488127;-0.537213;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.486665;-0.524334;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;176;;"Courseulles sur mer(64 éoliennes sur 45,3km²)";;;"true";"Position obtenue par interpolation"
49.84268;0.18394999;;;"Normandie";;;;"true";;;;"false";;;;"false";;;;;;;;;;175;;"Fécamp (71 éoliennes sur 60km²)";;;"true";"Position obtenue par interpolation"
